"fc";"pval.fc.fdr"
"ENSG00000101255.11";2.02;0.00156907706569763
"ENSG00000101335.10";-2.51;0.00918509104255524
"ENSG00000101349.17";-2.1;0.00810614603322629
"ENSG00000101412.13";1.93;8.55121006383222e-06
"ENSG00000101670.12";1.86;0.00104197614768765
"ENSG00000101825.8";1.88;0.00911967239308753
"ENSG00000101842.14";-2.3;0.00801104807734994
"ENSG00000101938.15";-2.27;0.00689065252332824
"ENSG00000102265.12";1.68;2.5939404195235e-05
"ENSG00000102349.18";-1.87;0.00666826408567901
"ENSG00000102383.14";-1.63;0.000292160548712935
"ENSG00000102384.13";1.74;4.42711759434941e-05
"ENSG00000102409.10";-2.02;9.8636794767552e-05
"ENSG00000102547.19";-2.18;0.00011214280671327
"ENSG00000102683.8";-3.25;0.00198918812334342
"ENSG00000103034.14";-2.08;0.00394776006020137
"ENSG00000103241.7";-1.86;0.00509197996587275
"ENSG00000103253.19";1.72;0.00311027310661559
"ENSG00000103888.17";3.54;0.00866807225852428
"ENSG00000104059.4";-2.37;0.00525649522951405
"ENSG00000104332.12";-2.72;0.000402441378010483
"ENSG00000104722.14";-3.65;0.00866690133923159
"ENSG00000104833.12";-2.56;0.00789546655657736
"ENSG00000104899.8";3.42;0.000623567453823604
"ENSG00000104951.16";1.9;0.001006206732842
"ENSG00000105270.15";-2.1;0.00715469220528611
"ENSG00000105327.18";1.51;3.43231756989547e-05
"ENSG00000105464.3";3.11;6.36142567148643e-05
"ENSG00000105641.4";-3.46;0.0026211214023168
"ENSG00000105717.14";1.59;0.00574228388099121
"ENSG00000105737.9";-2.29;0.00827486640707003
"ENSG00000105877.18";-1.75;0.00371535351698831
"ENSG00000105894.12";-2.44;0.000604952346028612
"ENSG00000105963.15";1.6;6.71870289897728e-05
"ENSG00000105974.13";-1.76;0.00552387584098095
"ENSG00000105976.16";1.5;0.00138806021904304
"ENSG00000105989.10";4.33;9.95882083729313e-05
"ENSG00000106031.9";3.39;0.000321541769568024
"ENSG00000106034.18";-2.33;0.00342679330348929
"ENSG00000106278.12";-1.56;3.90312229592674e-05
"ENSG00000106366.9";2.05;0.00902955182797937
"ENSG00000106397.12";1.55;0.000812423052713729
"ENSG00000106483.12";2.95;0.0037726593338867
"ENSG00000106484.16";1.77;1.09679798876996e-05
"ENSG00000106809.11";-1.77;0.00753991988076747
"ENSG00000106853.20";-1.88;0.00107803037804302
"ENSG00000107186.17";-1.69;0.00644674535457648
"ENSG00000107295.10";-4.58;0.00108855057588301
"ENSG00000107518.18";-2.21;0.00226450005630925
"ENSG00000107593.17";2.34;0.000379651260465937
"ENSG00000107807.13";2.43;0.000482952275508483
"ENSG00000108018.15";-2.86;0.000398470689510491
"ENSG00000108231.14";-2.54;0.000282586526033963
"ENSG00000108242.13";-1.77;0.00174665740700021
"ENSG00000108381.11";-2.47;1.08066673925273e-06
"ENSG00000108602.18";-3.16;0.00056672395806585
"ENSG00000108821.14";2.84;8.87154120227158e-05
"ENSG00000108823.16";-2.37;0.00789238103103104
"ENSG00000108852.15";-1.73;0.00448754945218063
"ENSG00000108924.14";-3.43;0.00099981933510069
"ENSG00000109107.14";-1.51;0.00045297600526135
"ENSG00000109182.12";-3.49;0.00702690668595234
"ENSG00000109339.24";-1.76;0.00160122512402188
"ENSG00000109738.11";-1.92;0.00464649223919443
"ENSG00000109805.10";1.57;0.000165969734929622
"ENSG00000109846.9";-2.34;0.000879131014424027
"ENSG00000109906.14";-2.74;0.00407482240016612
"ENSG00000110148.10";-4;0.00129617896867268
"ENSG00000111012.10";1.95;0.000723825419403176
"ENSG00000111206.13";1.85;6.30191277461224e-06
"ENSG00000111247.15";1.7;3.20973622632222e-06
"ENSG00000111249.14";-2.27;0.00163480295711487
"ENSG00000111404.7";-2.01;0.000859146695418097
"ENSG00000111602.12";1.53;2.80449967801129e-05
"ENSG00000111863.13";-1.51;0.00913316850374163
"ENSG00000112175.8";-2.36;0.00240736336601719
"ENSG00000112186.12";-2.41;0.00838604404361468
"ENSG00000112276.14";-2.59;0.00407814618291916
"ENSG00000112320.12";-1.6;0.00827931135813591
"ENSG00000112425.16";-1.86;0.00361361082701008
"ENSG00000112742.10";1.6;6.04895538581925e-05
"ENSG00000112761.21";2.7;0.00316945817730328
"ENSG00000112877.8";1.52;2.05312982096481e-05
"ENSG00000112964.14";-2.49;0.000176740211111528
"ENSG00000112981.5";-1.92;0.0010910687665447
"ENSG00000112984.12";1.68;0.000163526389526286
"ENSG00000113389.16";-2.5;0.00512622959685248
"ENSG00000113749.7";-1.94;0.00331887418559976
"ENSG00000113946.4";2.26;0.00473859508969324
"ENSG00000114166.8";-1.56;1.65815798187133e-05
"ENSG00000114346.14";1.95;0.000108407940450289
"ENSG00000114790.13";-2.48;0.00247237758367478
"ENSG00000115163.15";1.69;3.86604476161176e-05
"ENSG00000115295.20";-1.68;0.000222986854616508
"ENSG00000115353.11";-1.57;0.000846858847676027
"ENSG00000115361.8";-2.6;0.000136890251791334
"ENSG00000115507.10";2.3;6.88713959670528e-05
"ENSG00000115556.14";-3.6;0.00147763123785683
"ENSG00000115665.9";-4.27;0.00276986086198247
"ENSG00000115705.22";-1.55;0.00905399723755694
"ENSG00000115896.16";-1.91;0.00422278535889302
"ENSG00000116176.6";-2.47;0.00598052656380825
"ENSG00000116194.13";-3.04;0.00383038269553133
"ENSG00000116741.8";-1.83;0.000313281561592111
"ENSG00000116748.21";-2.76;0.00209811049695318
"ENSG00000116983.13";-3.5;0.000943409159173014
"ENSG00000117122.14";2.04;0.000489086111793749
"ENSG00000117399.14";1.54;1.81203718452847e-05
"ENSG00000117586.11";1.53;0.00207256501193329
"ENSG00000117650.13";2;1.52439304610493e-05
"ENSG00000117724.13";2.07;1.13849403649062e-05
"ENSG00000117877.11";1.53;4.28733132716607e-05
"ENSG00000118160.14";-2.57;0.00722905874315164
"ENSG00000118193.12";2.39;2.23306615694837e-05
"ENSG00000118298.12";-1.57;0.00648275782053608
"ENSG00000118407.15";-2.51;0.00827476989975939
"ENSG00000118513.19";1.8;0.000261913359552347
"ENSG00000118596.12";-1.61;0.000121135874528021
"ENSG00000118785.14";3.33;0.0056552320513407
"ENSG00000118985.16";-1.65;1.85266452762822e-05
"ENSG00000119138.4";-1.77;0.000723944394449239
"ENSG00000119147.10";-3.87;0.00802944508736098
"ENSG00000119938.9";-2.72;0.00579755410628543
"ENSG00000119969.15";1.69;1.08066673925273e-06
"ENSG00000120129.6";-1.52;0.00255755425504412
"ENSG00000120254.16";1.87;7.22095612497223e-05
"ENSG00000120440.15";1.99;0.00422218828968333
"ENSG00000120659.15";2.37;0.000236149436970219
"ENSG00000120693.14";-1.94;0.00166310479053212
"ENSG00000120907.18";-1.87;5.29209695460479e-05
"ENSG00000121152.10";1.72;3.10748309797445e-05
"ENSG00000121413.13";-1.74;0.000645747020994798
"ENSG00000121440.15";-2;0.00266777262497961
"ENSG00000121621.7";1.82;2.05312982096481e-05
"ENSG00000122012.14";-2.23;0.00502397692989939
"ENSG00000122367.20";-3.12;0.00468665212369913
"ENSG00000122585.8";-3.39;0.00661128015088649
"ENSG00000122641.11";3;4.00416193843163e-05
"ENSG00000122733.12";-1.59;0.00268821770052241
"ENSG00000122824.11";-2.42;0.00204093079145485
"ENSG00000123119.12";-3.34;0.00562657142669459
"ENSG00000123201.14";2.45;0.00254470177304782
"ENSG00000123243.15";-1.73;0.00519811201419162
"ENSG00000123388.4";4.95;3.90798000778974e-06
"ENSG00000123473.16";2.04;1.01389444395287e-05
"ENSG00000123485.12";2.01;4.02105635667514e-06
"ENSG00000123500.10";6.54;0.000101344073512944
"ENSG00000123560.14";-3.84;0.00267571042134675
"ENSG00000123570.4";-2.39;0.00185235487633507
"ENSG00000124374.9";-1.8;1.37526976727716e-05
"ENSG00000124440.16";-2.5;0.00671059603495625
"ENSG00000124491.16";-1.68;7.56272821920592e-05
"ENSG00000124701.5";-3.21;0.000708563334450047
"ENSG00000124749.17";-2.24;0.00593178738806383
"ENSG00000124766.7";1.56;2.62598940845447e-05
"ENSG00000125285.6";-3.24;0.000443634124623019
"ENSG00000125355.16";-1.59;0.00156781723999194
"ENSG00000125398.8";1.56;2.28982916150205e-06
"ENSG00000125508.3";1.95;0.00280314691665567
"ENSG00000125531.7";1.71;0.0028640450968367
