"fc";"pval.fc.fdr"
"ENSG00000157927.17";-2.16;0.000340664794219329
"ENSG00000158106.14";1.69;0.00327667142530518
"ENSG00000158246.8";-2.47;0.00441754004731815
"ENSG00000158445.10";-3.06;0.0054258131936233
"ENSG00000158458.21";-1.71;0.000933551976440697
"ENSG00000158516.12";-5.25;0.00552387584098095
"ENSG00000158555.15";2.03;0.00301288579624019
"ENSG00000158887.19";-2.29;0.00246790646813145
"ENSG00000159176.14";-1.99;0.00855762540463591
"ENSG00000159261.12";1.66;0.00498375818016335
"ENSG00000159307.19";-1.99;0.0073939686630555
"ENSG00000159374.17";2.25;0.000788933091388993
"ENSG00000159388.6";-2.44;0.00156781723999194
"ENSG00000159433.12";-1.56;0.00801364735440025
"ENSG00000160097.20";-2.02;0.00253021462903818
"ENSG00000160161.9";3.85;0.00790410780650561
"ENSG00000160307.10";-1.86;0.00560908231511451
"ENSG00000160396.9";-2.01;0.00246444192911837
"ENSG00000160401.15";1.59;3.36803801478666e-05
"ENSG00000160471.13";3.44;0.000929229694456795
"ENSG00000160801.14";-2.01;0.00178085132638794
"ENSG00000160808.11";-1.51;0.000453717042141348
"ENSG00000160867.15";2.04;0.00067812310905192
"ENSG00000160932.11";1.86;0.00093035346339774
"ENSG00000160949.17";1.6;1.5118334403432e-05
"ENSG00000160957.14";2.11;4.64098381377734e-06
"ENSG00000161281.11";-1.81;0.00531566407335717
"ENSG00000161649.13";-1.88;0.00807642550481617
"ENSG00000161896.12";-2.1;0.00125571935425938
"ENSG00000162062.15";1.74;3.87360351753295e-06
"ENSG00000162063.13";1.65;1.50189288934627e-05
"ENSG00000162073.14";1.56;2.49555845742034e-06
"ENSG00000162373.13";-1.74;0.00104618909626282
"ENSG00000162383.13";-1.69;0.00573918801445739
"ENSG00000162409.11";-1.99;0.00201442940915667
"ENSG00000162444.12";-1.6;0.00355255715371793
"ENSG00000162482.5";-1.7;0.0069674941134496
"ENSG00000162639.16";1.57;3.3293483065129e-05
"ENSG00000162654.9";1.53;0.00936102565918377
"ENSG00000162706.13";-2.34;0.000390228746063452
"ENSG00000162745.10";1.84;0.00167319346486504
"ENSG00000162849.16";2.29;0.00104145881221926
"ENSG00000162878.13";1.56;0.00192276995815147
"ENSG00000162949.16";-1.83;0.00318477279807111
"ENSG00000163075.13";-2.28;0.00266777262497961
"ENSG00000163328.14";-2.62;0.000291861646540948
"ENSG00000163347.6";2.03;0.00422482533063137
"ENSG00000163431.13";-2.59;0.00579070782243262
"ENSG00000163507.14";1.54;3.8748115373038e-05
"ENSG00000163508.13";1.62;0.00526595859995706
"ENSG00000163637.13";-2.26;0.00408952621703709
"ENSG00000163661.4";-2.26;0.00839016782192173
"ENSG00000163673.7";2.07;7.92804304936489e-05
"ENSG00000163687.14";-1.73;0.00258727886630134
"ENSG00000163808.17";1.66;1.65815798187133e-05
"ENSG00000163815.6";-2.57;0.00161217012465314
"ENSG00000163873.10";-2.94;0.00292303943984543
"ENSG00000163884.4";-2.26;0.00207841661613394
"ENSG00000164109.14";1.58;6.36142567148643e-05
"ENSG00000164120.14";-1.89;0.00216527119726881
"ENSG00000164188.9";-2.17;0.00186156748678711
"ENSG00000164197.12";-1.79;0.000146482695400382
"ENSG00000164283.13";4.59;5.47988817644651e-05
"ENSG00000164418.21";-2.43;0.00799456204386802
"ENSG00000164430.16";1.56;1.01687143790022e-06
"ENSG00000164440.15";-1.93;0.000109123651661431
"ENSG00000164442.10";-1.55;4.36664634779195e-05
"ENSG00000164530.15";-2.86;0.0030264500964921
"ENSG00000164619.10";-2.72;0.000901264994907504
"ENSG00000164692.18";1.62;0.000258720225554119
"ENSG00000164694.17";2.86;0.00320255703392086
"ENSG00000164756.12";-2;0.00388911157593142
"ENSG00000164761.9";2.14;0.000802573413084152
"ENSG00000164764.11";-2.22;0.0099469203618366
"ENSG00000164841.5";-1.8;0.00573606541865438
"ENSG00000164850.15";-2.27;0.00669298112779512
"ENSG00000164932.13";3.29;0.00123852058666163
"ENSG00000165028.12";-1.52;0.00279739951810619
"ENSG00000165072.10";-3.26;0.000602661649737841
"ENSG00000165186.12";-3.91;0.00518915903387409
"ENSG00000165197.5";-3.32;7.66154189890163e-05
"ENSG00000165304.8";1.6;1.85266452762822e-05
"ENSG00000165323.15";-3.78;0.00751470862189162
"ENSG00000165379.13";-1.51;0.00288946838085931
"ENSG00000165410.15";-2.45;0.00561358688338007
"ENSG00000165434.8";1.51;0.000283688163502033
"ENSG00000165480.16";1.82;1.83978803862983e-05
"ENSG00000165490.13";1.69;0.000114601737899434
"ENSG00000165495.16";-1.89;0.000406689367269109
"ENSG00000165821.12";-1.8;0.00718654149135598
"ENSG00000165966.16";-3.72;0.00311027310661559
"ENSG00000165995.22";-2.25;0.00756821534927733
"ENSG00000165996.14";-2.06;0.0031235508855548
"ENSG00000166086.13";-1.61;0.00623695165663219
"ENSG00000166091.21";-3.22;0.00142746999582575
"ENSG00000166165.13";-3.13;0.000154535791905055
"ENSG00000166250.12";-2.05;0.00441754004731815
"ENSG00000166292.12";-2.83;0.000748751504949294
"ENSG00000166402.9";-1.8;0.00122192926421596
"ENSG00000166405.15";-1.84;0.000328613960188774
"ENSG00000166415.15";3.48;0.00162869646001883
"ENSG00000166482.12";-1.64;0.000261876256233676
"ENSG00000166770.11";-1.95;0.000781241198257395
"ENSG00000166816.15";-1.59;0.000286077329280525
"ENSG00000166828.3";-2.97;0.000773816755724273
"ENSG00000166831.9";-2.8;0.00579777994231821
"ENSG00000166851.15";1.59;1.65815798187133e-05
"ENSG00000166960.16";-1.5;1.10238386476155e-05
"ENSG00000167434.10";-2.4;0.000271237568850165
"ENSG00000167513.9";1.59;3.74287231768644e-06
"ENSG00000167549.18";-2.29;0.00869744911853911
"ENSG00000167550.11";1.6;0.000417234826019341
"ENSG00000167654.18";-2.55;0.00683016575497016
"ENSG00000167676.4";-3.07;0.00400673352944739
"ENSG00000167771.6";1.87;0.00819869706007969
"ENSG00000167779.9";-2.22;0.00351819662453243
"ENSG00000168078.10";1.59;0.000135438351857427
"ENSG00000168079.17";-2.61;0.000886295662357051
"ENSG00000168306.13";-1.91;0.000265304352399005
"ENSG00000168309.18";-1.73;0.000261876256233676
"ENSG00000168334.9";2.44;0.00486181822609036
"ENSG00000168477.19";-1.82;0.00393735737987094
"ENSG00000168497.5";-1.83;0.000347227395709963
"ENSG00000168542.16";1.7;0.000287086205303969
"ENSG00000168546.11";-2.34;0.000266379891941528
"ENSG00000168824.14";-1.68;0.00962538274279347
"ENSG00000168874.13";-1.6;7.54551442481012e-05
"ENSG00000168993.15";2.49;0.00712834434593958
"ENSG00000169083.18";-2.23;0.000990645361756643
"ENSG00000169122.11";-1.5;0.00217218812501671
"ENSG00000169174.11";1.61;0.00795944111994117
"ENSG00000169181.13";-2.13;0.000518380444598447
"ENSG00000169248.13";2.84;0.00579755410628543
"ENSG00000169252.6";-2.01;1.04051061753508e-06
"ENSG00000169302.16";-2.21;0.00119811643734563
"ENSG00000169418.10";-1.52;0.00678005869919866
"ENSG00000169495.5";2.62;0.000114601737899434
"ENSG00000169607.13";1.85;4.67254660870153e-05
"ENSG00000169679.15";1.91;1.10238386476155e-05
"ENSG00000169752.17";-2.02;0.0090608352708673
"ENSG00000169760.17";-2.27;0.000762581255781064
"ENSG00000169946.14";-1.81;0.00772954219805547
"ENSG00000170011.14";-2.04;0.000156203499033823
"ENSG00000170074.19";-1.64;0.00452473442893167
"ENSG00000170091.11";-3.04;0.00263526247479988
"ENSG00000170122.5";1.6;0.00109668563516259
"ENSG00000170153.11";-2.62;0.00398035044093802
"ENSG00000170271.11";-1.92;0.0017397412017471
"ENSG00000170298.15";-2.32;0.00236750427607236
"ENSG00000170312.16";1.88;0.00258880263721146
"ENSG00000170369.4";3.23;0.00721094550654545
"ENSG00000170373.8";7.49;0.000199233945995239
"ENSG00000170419.11";-3.97;0.000336195653655948
"ENSG00000170464.10";-1.58;0.000807716949854237
"ENSG00000170500.13";-2.45;0.00210393908564704
"ENSG00000170537.13";1.9;0.00106465162234774
"ENSG00000170689.10";2.48;0.00301813175629348
"ENSG00000170954.11";-1.62;6.32177070721624e-05
"ENSG00000171016.13";-1.75;0.00568987360984512
"ENSG00000171094.18";-1.84;0.0076874511205571
"ENSG00000171243.8";-2.97;0.001269670944243
"ENSG00000171246.6";-4.51;0.00411650621587301
"ENSG00000171303.7";-2.01;0.00405093351696729
"ENSG00000171357.6";-1.59;0.000420308359791619
"ENSG00000171388.12";2.54;0.000607731785575596
"ENSG00000171533.11";-1.95;0.00443574250580117
"ENSG00000171617.14";1.59;1.92876384474113e-05
"ENSG00000171631.15";1.55;0.00194027519585888
"ENSG00000171658.8";-1.96;0.00702079293201015
"ENSG00000171714.12";-1.84;0.000331158124218812
"ENSG00000171724.3";-1.67;0.0023637752342815
"ENSG00000171819.5";-2.67;0.00647937613827995
"ENSG00000171916.17";-2.83;0.00486135605847303
"ENSG00000172016.16";-3.91;0.00824774280468535
"ENSG00000172061.9";1.51;0.00908279665067306
"ENSG00000172167.8";1.5;8.83411040136027e-06
"ENSG00000172201.12";-1.51;2.49555845742034e-06
"ENSG00000172244.9";1.78;0.000250857946328001
"ENSG00000172260.15";-2.81;0.00180897558273295
"ENSG00000172403.11";-2.43;0.0094528057695626
"ENSG00000172461.11";-2.73;0.0050160717266303
"ENSG00000172548.14";-2.77;0.00133877069092827
"ENSG00000172554.12";-1.53;0.00024006134075618
"ENSG00000172752.14";-1.69;0.00587275113373943
"ENSG00000172901.20";-2.18;0.00547292609361196
"ENSG00000172915.18";-2.05;0.00502397692989939
"ENSG00000172965.17";1.96;1.65815798187133e-05
"ENSG00000173258.13";-1.67;0.00297725072458146
"ENSG00000173391.9";2.58;9.21358213820516e-05
"ENSG00000173406.16";-3.97;0.00959041000933686
"ENSG00000173621.9";2.43;0.000357259400894009
"ENSG00000173698.18";-1.87;0.00431138307244681
"ENSG00000173894.11";2.04;0.00686972857656977
"ENSG00000174099.12";-2.32;0.00457339751604996
"ENSG00000174136.13";-1.52;0.000558606625578692
"ENSG00000174371.17";1.88;3.11976611941892e-05
"ENSG00000174403.16";-3.31;0.00502397692989939
"ENSG00000174576.10";-3.53;0.00211153486794784
"ENSG00000174611.12";-3.07;0.00113399116312681
"ENSG00000174808.12";-2.02;0.00130998625925843
"ENSG00000174938.14";1.85;0.000777727986115206
"ENSG00000174939.11";1.96;0.00141121998646472
"ENSG00000174944.9";-2.03;0.00021448454601207
"ENSG00000175063.17";2.28;3.48564351055209e-05
"ENSG00000175161.14";-3.06;0.00370822295526529
"ENSG00000175264.8";1.54;0.000135438351857427
"ENSG00000175356.14";-2.21;0.000170189315397825
"ENSG00000175785.13";-3.02;0.00641733148945903
"ENSG00000175832.13";2.89;1.92974696789931e-05
"ENSG00000175906.5";-1.89;0.00811169432691447
"ENSG00000176014.13";-1.52;0.002409278688077
"ENSG00000176244.7";2.3;0.000901264994907504
"ENSG00000176293.20";-1.77;0.000641334499736218
"ENSG00000176399.4";-1.86;0.000284282729640338
"ENSG00000176533.13";-1.97;3.32230494459959e-07
"ENSG00000176728.10";-1.53;0.00179126544811685
"ENSG00000176928.7";-2.56;0.000438941326768521
"ENSG00000176956.13";-2.33;0.000944736708025765
"ENSG00000177133.11";-2.34;0.00836268154270338
"ENSG00000177301.16";-2.27;0.000734082186553468
"ENSG00000177363.5";-1.66;0.00208921387873974
"ENSG00000177432.8";-1.57;0.00410576165635632
"ENSG00000177511.6";-2.66;0.000872011582865276
"ENSG00000177519.4";-3.84;0.000590257102057274
"ENSG00000177602.5";1.62;4.83996899445125e-05
"ENSG00000177990.12";-2.12;0.00388060514875955
"ENSG00000178031.17";-2.08;0.000210016972016087
"ENSG00000178233.18";-1.82;0.00490190186447888
"ENSG00000178597.7";-4.12;0.00386802631130331
"ENSG00000178752.16";2.05;5.22720715301829e-05
"ENSG00000178947.9";-1.57;4.28733132716607e-05
"ENSG00000178999.13";1.56;3.09091488357029e-05
"ENSG00000179094.16";-1.75;0.000193979961708147
"ENSG00000179603.18";2.15;0.00021382940009722
"ENSG00000179639.10";-1.68;0.00431386170931067
"ENSG00000179772.8";2.69;4.41760707857807e-05
"ENSG00000179796.12";-2.75;0.00567710499564804
"ENSG00000179915.24";-2.97;0.0046107556552098
"ENSG00000179934.7";2.46;0.00017366730274418
"ENSG00000180190.12";-1.7;0.000202536875640302
"ENSG00000180251.5";-3.56;0.00136085916105835
"ENSG00000180316.12";-2.14;0.00523723208047932
"ENSG00000180440.4";-4.44;1.98951299216959e-05
"ENSG00000180447.7";-1.87;0.00731430852597014
"ENSG00000180660.8";-2.27;0.00089502982741039
"ENSG00000180720.7";-2.22;0.000300208541635767
"ENSG00000180806.5";4.22;0.000192630482799823
"ENSG00000180818.5";6.61;2.64977695233104e-05
"ENSG00000181072.11";-3.7;0.00658919574771248
"ENSG00000181085.15";2.76;0.00260698164210566
"ENSG00000181234.9";-2.74;5.23868542657675e-06
"ENSG00000181544.15";1.67;1.39311414358238e-05
"ENSG00000181577.16";3.64;0.00512311513234556
"ENSG00000181778.5";-3.16;0.00365157915376094
"ENSG00000181856.15";-2.77;0.00671059603495625
"ENSG00000182175.14";-1.83;0.00899796871457621
"ENSG00000182195.9";-1.57;0.000402441378010483
"ENSG00000182253.15";-3.27;0.00683138469893141
"ENSG00000182492.16";2.64;0.000179823604107351
"ENSG00000182912.6";1.63;0.000622142262599333
"ENSG00000182916.8";-1.95;0.00443574250580117
"ENSG00000182983.15";-2.23;4.61644400772975e-06
"ENSG00000183134.5";-2.49;0.00115576724333455
"ENSG00000183150.8";1.87;0.00165904134451866
"ENSG00000183230.17";-3.93;0.00533829454463255
"ENSG00000183287.14";-2.38;0.000889123906278017
"ENSG00000183578.8";-1.67;0.00225029379932627
"ENSG00000183682.8";2.01;1.10238386476155e-05
"ENSG00000183715.13";-2.97;0.00139841124182049
"ENSG00000183783.7";-3.47;0.00222392409225957
"ENSG00000183798.5";-2.38;4.54579067252488e-05
"ENSG00000183844.17";-1.72;0.0028059626407491
"ENSG00000183856.11";2;0.000442685439976552
"ENSG00000184144.12";-2;0.00605020301857882
"ENSG00000184205.14";-1.75;0.00870951570446464
"ENSG00000184226.15";-3;0.0096578477921467
"ENSG00000184368.16";-2.54;0.00719718926815557
"ENSG00000184661.14";1.88;5.06909605723514e-05
"ENSG00000184719.12";-1.55;5.18885684311319e-05
"ENSG00000184828.10";-1.57;0.00165021995430677
"ENSG00000184905.9";-3.49;0.00591885067158113
"ENSG00000185046.18";-2.29;0.00269052930792219
"ENSG00000185345.23";-1.95;0.000214003799533104
"ENSG00000185352.8";-3.44;0.000321275200276668
"ENSG00000185432.12";-1.58;1.04051061753508e-06
"ENSG00000185760.17";-1.77;0.00133286074120449
"ENSG00000186047.10";1.86;5.14873404666196e-05
"ENSG00000186185.14";2.15;1.60625492074115e-06
"ENSG00000186193.9";1.9;0.000391793485886402
"ENSG00000186340.16";2.19;0.00613612870186045
"ENSG00000186352.9";-1.61;0.00616196268300067
"ENSG00000186462.9";-2.32;0.000696143715623864
"ENSG00000186510.12";-3.02;0.00830020100094811
"ENSG00000186564.6";2.1;0.000190137208675955
"ENSG00000186603.6";1.84;0.000705215097784649
"ENSG00000186642.16";-1.71;0.000656188100838948
"ENSG00000186818.12";1.81;0.0021342569847896
"ENSG00000186854.11";1.62;0.0093859826914522
"ENSG00000186868.16";-2.33;0.00495868474546591
"ENSG00000187045.19";-2;0.00967729757304586
"ENSG00000187068.3";-1.64;0.00885993428617901
"ENSG00000187134.14";-2.08;0.000371247275202338
"ENSG00000187140.6";-2.3;0.00577102692381411
"ENSG00000187193.9";-1.53;0.00285887307619386
"ENSG00000187391.22";-1.77;0.00385621154872835
"ENSG00000187730.9";2.93;1.81203718452847e-05
"ENSG00000187741.15";1.77;9.00500389935672e-05
"ENSG00000187848.15";-2.54;0.000701150179928081
"ENSG00000187942.12";-1.93;0.000500777192088016
"ENSG00000187951.11";1.73;4.20731390066226e-05
"ENSG00000187957.8";-3.12;0.00245696678974968
"ENSG00000187980.7";-2.98;0.00298957979957218
"ENSG00000187987.9";-1.89;0.000183108821606125
"ENSG00000188153.14";-2.42;0.00334983794016612
"ENSG00000188157.15";1.83;0.000165969734929622
"ENSG00000188171.16";-1.5;6.59318331648463e-06
"ENSG00000188483.8";1.78;0.000271925657465658
"ENSG00000188517.16";-1.52;0.00865564100884233
"ENSG00000188536.13";-1.81;0.00184557231818457
"ENSG00000188610.12";2.13;4.45623850424495e-05
"ENSG00000189056.14";-2.61;0.000321275200276668
"ENSG00000189129.14";-1.78;0.00121418556224319
"ENSG00000189134.4";-2.21;0.0025421831170372
"ENSG00000189292.16";-1.98;0.000587459111652059
"ENSG00000189377.9";-2.12;0.00884160478749786
"ENSG00000196109.9";-1.5;0.00656694166617211
"ENSG00000196155.13";2.09;0.000134422620854125
"ENSG00000196167.10";-1.6;0.00632785393598735
"ENSG00000196263.8";-1.96;0.000126695648025862
"ENSG00000196296.14";1.5;0.00167680483040146
"ENSG00000196335.13";2.88;0.00602283049516896
"ENSG00000196376.11";-2.26;0.00821423406376975
"ENSG00000196381.11";-1.8;0.00424837601544109
"ENSG00000196482.18";-3.83;0.00214541264618
"ENSG00000196542.8";-2.28;0.00558256500750536
"ENSG00000196550.10";1.98;1.93858833593323e-05
"ENSG00000196557.13";-2.19;0.00615055508157481
"ENSG00000196581.11";-1.57;0.00195154584535616
"ENSG00000196584.3";1.77;2.81532259334629e-05
"ENSG00000196616.14";-2.4;8.61487680376475e-05
"ENSG00000196632.10";-1.6;0.00250618240317068
"ENSG00000196711.9";2.48;0.00021382940009722
"ENSG00000196932.12";1.56;3.87360351753295e-06
"ENSG00000196972.9";-1.53;0.000238696441914379
"ENSG00000197083.11";-1.83;0.000868533334467779
"ENSG00000197256.11";-1.65;0.00747733831659659
"ENSG00000197275.14";1.51;8.83411040136027e-06
"ENSG00000197321.15";-2.1;0.00594258215574915
"ENSG00000197472.15";2.79;0.000138589115363329
"ENSG00000197576.14";-1.68;0.00403631147704697
"ENSG00000197584.12";-2.6;0.00659013602373399
"ENSG00000197587.11";5.38;0.00204357648218438
"ENSG00000197757.8";1.75;0.000655007584107399
"ENSG00000197766.8";-2.34;0.00036211743655489
"ENSG00000197905.10";1.54;6.5609115402104e-06
"ENSG00000197928.10";-1.53;0.000157604477780423
"ENSG00000198010.13";-1.61;0.00176243431538762
"ENSG00000198046.12";-1.55;0.000912707738558683
"ENSG00000198074.10";-2.25;0.00162130933980952
"ENSG00000198088.10";1.88;0.00266789991323192
"ENSG00000198300.14";-2.64;0.00238971382525432
"ENSG00000198483.13";-2.16;0.00409644007290602
"ENSG00000198488.10";-2.08;0.0051539641586318
"ENSG00000198523.6";-3.42;0.00407814618291916
"ENSG00000198535.5";1.66;0.0030255364052464
"ENSG00000198597.9";-2.05;3.65892846527672e-05
"ENSG00000198624.13";-1.93;0.000874085091669164
"ENSG00000198826.11";1.77;2.50948728239935e-05
"ENSG00000198838.14";-2.91;0.00265191540904775
"ENSG00000198901.14";1.67;1.36394827027919e-05
"ENSG00000198915.12";1.75;0.00370509638403938
"ENSG00000198932.13";-2.09;0.00405546589210106
"ENSG00000198947.16";-2.48;0.00328863176020487
"ENSG00000198963.11";-1.54;0.00288322456200455
"ENSG00000203650.9";2.09;0.000438941326768521
"ENSG00000203685.10";-1.74;0.00256593701869688
"ENSG00000203747.12";2;0.000541923843374504
"ENSG00000203778.8";-1.8;0.00150583580209944
"ENSG00000203799.13";2.5;0.000511995416690834
"ENSG00000203808.12";-2.7;0.00154407603838554
"ENSG00000203867.8";-2.61;0.00457979113666494
"ENSG00000203952.9";-1.98;0.000183125172610943
"ENSG00000203999.9";1.8;0.000994482695227556
"ENSG00000204065.3";-2.03;0.00233305797621911
"ENSG00000204262.14";1.57;5.97090234949699e-05
"ENSG00000204323.5";-1.82;0.000444215895375278
"ENSG00000204410.16";1.67;0.00294216656292793
"ENSG00000204516.10";1.64;0.00579714661003375
"ENSG00000204616.11";1.51;0.00622719069390237
"ENSG00000205002.4";-2.61;0.00943650602455484
"ENSG00000205038.12";-1.57;0.000390228746063452
"ENSG00000205106.4";-1.66;4.18792919085902e-05
"ENSG00000205221.12";-2.4;0.00152209095579272
"ENSG00000205362.11";-1.72;0.00323412136750376
"ENSG00000205363.6";-1.91;0.00356032897283417
"ENSG00000205364.4";-2.01;0.00112146437011426
"ENSG00000205795.4";-2.06;0.00904484071065681
"ENSG00000205869.2";1.54;0.000819076278682057
"ENSG00000206195.11";3.49;0.000440158146037045
"ENSG00000206559.8";-1.57;0.0024695661100594
"ENSG00000206579.9";-3.2;0.00277510644437351
"ENSG00000211445.12";-2.06;6.36921803343213e-05
"ENSG00000211668.2";-1.98;0.00392830190103965
"ENSG00000211677.2";-1.69;0.00734681121775596
"ENSG00000211890.4";-2.43;0.00635542273670301
"ENSG00000211895.5";-2.23;0.00493764606585487
"ENSG00000211957.2";-2.77;0.00402258751616185
"ENSG00000211961.3";-2.22;0.0091374447720296
"ENSG00000211966.2";-2.29;0.0075337698746411
"ENSG00000213144.2";-1.92;0.00654747217437549
"ENSG00000213366.13";-1.64;7.54551442481012e-05
"ENSG00000213424.9";-1.67;8.1930013591567e-05
"ENSG00000213468.7";3.07;0.00365534784270593
"ENSG00000214456.8";-1.87;0.00115371391924877
"ENSG00000214575.9";-2.3;0.00147732512841722
"ENSG00000215218.4";-2.64;0.000723659476967039
"ENSG00000215784.6";2.12;5.60272617121968e-05
"ENSG00000215861.6";-1.94;0.00900982726388598
"ENSG00000215866.8";2.02;0.00694070727776049
"ENSG00000219607.4";-1.93;0.00245696678974968
"ENSG00000223274.6";1.67;0.00887090991645378
"ENSG00000224078.15";-2.15;0.00142021413520024
"ENSG00000224238.2";-1.76;0.0081208521306177
"ENSG00000224245.1";2;0.00367990362873241
"ENSG00000224397.7";1.78;5.18721639132642e-05
"ENSG00000224511.2";-2.42;0.00734722427242005
"ENSG00000224786.2";-1.6;0.000504550467169206
"ENSG00000224805.2";1.68;0.000416702915936997
"ENSG00000224905.7";-2.22;0.00465581931978527
"ENSG00000224940.9";-3.23;0.000812233639308327
"ENSG00000224957.6";-2.28;0.00955328039922607
"ENSG00000224958.6";-3.87;0.00657326355347568
"ENSG00000225342.2";-1.51;0.00099981933510069
"ENSG00000225398.3";-2.62;0.00457366119039694
"ENSG00000225556.1";1.57;0.000977702700257817
"ENSG00000225614.4";2.54;4.13523199965081e-05
"ENSG00000225670.4";-1.62;0.000355711392177467
"ENSG00000225953.3";1.69;0.000961934757703573
"ENSG00000226237.2";-2.59;0.00201209704994724
"ENSG00000226383.7";1.65;0.00137318691098202
"ENSG00000226476.6";2.49;0.00279468713813614
"ENSG00000226856.7";1.59;0.00382932075535107
"ENSG00000227051.7";-1.68;0.00400538838146214
"ENSG00000227467.3";-2.13;0.0019499662181004
"ENSG00000227640.3";-2.9;0.000444008866409368
"ENSG00000227719.1";1.52;0.000999041831318023
"ENSG00000228063.2";-1.79;0.0053467527226009
"ENSG00000228168.1";2.37;4.45623850424495e-05
"ENSG00000228203.7";2.08;0.00699888005633359
"ENSG00000228549.4";-1.63;0.00292060739903665
"ENSG00000228630.5";5.66;0.000146926280035742
"ENSG00000228709.1";2.16;0.00192474914473178
"ENSG00000228742.11";3.26;0.00128306236199825
"ENSG00000229167.2";1.6;0.00213831104845865
"ENSG00000229228.1";-1.89;0.00469862754111476
"ENSG00000229404.6";3.59;0.000224832828041547
"ENSG00000229425.3";1.67;0.00115371391924877
"ENSG00000230061.2";3.45;4.51841977795092e-05
"ENSG00000230316.7";5.6;1.65815798187133e-05
"ENSG00000230387.4";-1.7;0.000912065033129011
"ENSG00000230417.12";-2.17;0.00127379120920904
"ENSG00000230479.1";1.59;0.00502707772848159
"ENSG00000230798.5";-1.87;0.00793961533947171
"ENSG00000231226.1";1.78;0.000679937818549458
"ENSG00000231367.6";-1.91;0.000762581255781064
"ENSG00000231672.8";-1.91;0.00174771075593327
"ENSG00000231768.2";-2.2;0.000402809943432578
"ENSG00000231806.3";1.62;0.00266777262497961
"ENSG00000232044.7";-3.27;0.00751814955161104
"ENSG00000232046.7";-2.4;0.0054089558240649
"ENSG00000232229.6";-1.78;0.000271237568850165
"ENSG00000232445.2";1.87;0.00310471805305284
"ENSG00000232680.2";-1.73;0.00149831180957996
"ENSG00000233670.7";-2.89;0.00337318123988502
"ENSG00000233705.7";-1.8;0.00934861861182107
"ENSG00000233850.1";-2.65;0.00722905874315164
"ENSG00000235366.2";-1.94;0.00394349259794808
"ENSG00000235601.1";-2.74;0.00706377279789225
"ENSG00000235890.2";1.72;0.00138722778460233
"ENSG00000235904.3";-2.19;0.00109510062142951
"ENSG00000236008.3";1.68;9.1722310646411e-05
"ENSG00000236081.1";2.8;0.00969035523396313
"ENSG00000236404.10";-1.65;0.00016719569772764
"ENSG00000236699.9";1.69;0.00174106421599737
"ENSG00000236790.6";1.52;0.000983554127934455
"ENSG00000236809.2";1.52;0.000267587754665131
"ENSG00000237187.9";-1.64;0.00662568240019644
"ENSG00000237424.1";2.47;0.000233081736811973
"ENSG00000237512.6";-2.12;0.00218021012123213
"ENSG00000237515.9";-3;0.00739470721804622
"ENSG00000237649.8";1.57;8.07413546871717e-06
"ENSG00000237686.7";3.15;0.00093035346339774
"ENSG00000237886.1";-3.1;0.00502707772848159
"ENSG00000237975.7";-2.3;0.00647824051461123
"ENSG00000237988.5";3.11;0.00430147235162829
"ENSG00000239819.2";-2.65;0.0024695661100594
"ENSG00000240771.8";-2.04;0.00735426387279648
"ENSG00000241158.7";-2.91;0.00312084769718681
"ENSG00000241484.10";1.64;0.00320398213604891
"ENSG00000241684.6";-2.76;0.00290347125040134
"ENSG00000242207.1";2.19;0.000573367130918748
"ENSG00000242371.1";-2.31;0.00509197996587275
"ENSG00000242534.2";-2.3;0.00433821930118616
"ENSG00000242766.1";-2.97;0.00768090243471368
"ENSG00000243069.8";-2.67;0.00503318077494592
"ENSG00000243244.7";-2.59;0.00598674187133427
"ENSG00000243290.3";-1.91;0.00880526848261011
"ENSG00000243466.1";-1.63;0.00860297262761977
"ENSG00000243766.8";3.52;0.00298897995816925
"ENSG00000244300.3";1.61;0.00855322374046152
"ENSG00000244306.11";3.4;0.000342864171053487
"ENSG00000245105.4";-2.13;0.00338119254899859
"ENSG00000245468.4";-1.59;0.00428108103214212
"ENSG00000246366.6";1.55;0.00664085308101602
"ENSG00000248309.7";-2.17;0.000319045252324798
"ENSG00000248334.6";-1.88;0.00137955622789979
"ENSG00000248587.8";-1.77;0.00613984595724801
"ENSG00000248898.3";1.89;0.00569125430605084
"ENSG00000249249.2";-1.59;0.000588737512908348
"ENSG00000249395.4";2.77;0.00142052060050839
"ENSG00000249574.1";1.7;0.00987845757941774
"ENSG00000249679.2";-2.34;0.00368726210045983
"ENSG00000250056.8";-2.4;0.00287659661126955
"ENSG00000250303.4";-1.77;0.000830393719163425
"ENSG00000250360.1";-2.17;0.00587796966291708
"ENSG00000250486.5";-1.95;0.00425649867233841
"ENSG00000250654.7";-1.62;4.68838368768697e-05
"ENSG00000251546.1";-2.47;0.00158273631823822
"ENSG00000253120.1";-3.04;0.0074605279326149
"ENSG00000253132.1";-2.74;0.00355255715371793
"ENSG00000253177.2";-1.78;0.00163526277633496
"ENSG00000253250.3";-2.81;0.00422218828968333
"ENSG00000253293.5";3.81;1.10238386476155e-05
"ENSG00000253497.1";-2.62;0.00626564156823621
"ENSG00000253771.6";-1.82;0.00314468784727467
"ENSG00000253833.1";-1.67;0.00277683064406012
"ENSG00000253853.3";-1.6;0.0043791210078456
"ENSG00000254290.1";2.64;0.00531559548295051
"ENSG00000254389.3";1.6;0.00254388384721313
